,count,mean,std,min,25%,50%,75%,max,IQR,skew
molecular_weight,705603.0,507.9779880754476,277.40331586541083,1.01,334.46,432.38,603.58,7860.71,269.12000000000006,2.5461800487796253
alogp,705603.0,4.004819508987349,4.826518299049364,-83.67,1.58,3.25,5.07,67.03,3.49,1.4693436049477033
topological_polar_surface_area,705603.0,115.97482825328125,101.72101977928568,0.0,61.09,85.61,136.68,3453.72,75.59,4.2717683169319685
rotatable_bond_count,705603.0,9.382737885184728,12.841583431918195,0.0,3.0,5.0,9.0,224.0,6.0,2.8074445551300213
hydrogen_bond_acceptors,705603.0,7.085240567287838,5.654150240353576,0.0,4.0,6.0,8.0,191.0,4.0,3.3485202877414277
hydrogen_bond_donors,705603.0,2.9007345490311125,3.839313172406788,0.0,1.0,2.0,4.0,116.0,3.0,3.8764686274005915
aromatic_rings_count,705603.0,1.3155046109497834,1.4763540082055346,0.0,0.0,1.0,2.0,31.0,2.0,1.3284979917613076
qed_drug_likeliness,705603.0,0.4066892714458413,0.25452341188640865,0.0,0.18,0.41,0.62,0.95,0.44,0.05095662426329858
fractioncsp3,705603.0,0.5732487673663519,0.26509446443017454,0.0,0.36,0.58,0.8,1.0,0.44000000000000006,-0.17624021688822594
number_of_minimal_rings,705603.0,3.747882307756628,2.634930906246398,0.0,2.0,4.0,5.0,51.0,3.0,1.5030484577833736
np_likeness,705603.0,1.1575635024227504,1.3681000133436418,-3.53,0.13,1.27,2.27,4.12,2.14,-0.1822719917688337
